source,headline,url,published_at
bbc,Heathrow considering legal action against National Grid over fire that caused shutdown,https://www.bbc.com/news/articles/cly22eelnxjo,2025-07-02T13:12:12Z
bbc,Catherine talks candidly of 'life-changing' cancer treatment,https://www.bbc.com/news/articles/c6257z1w5ypo,2025-07-02T13:30:30Z
bbc,Prosecutors consider further charges against Lucy Letby,https://www.bbc.com/news/articles/c5yl273mlryo,2025-07-02T11:17:26Z
bbc,Scorching European heatwave turns deadly in Spain and France,https://www.bbc.com/news/articles/cwyg5pq584eo,2025-07-02T10:42:44Z
bbc,Bob Vylan dropped from music festivals after Glastonbury controversy,https://www.bbc.com/news/articles/cz09y1r1y1ro,2025-07-02T13:38:14Z
bbc,Ukraine warns halt of US weapons shipments will 'encourage Russia',https://www.bbc.com/news/articles/cgk33k204ddo,2025-07-02T11:30:56Z
bbc,Diddy jury are deadlocked on racketeering charge - but what is it?,https://www.bbc.com/news/articles/c0qz32wzeego,2025-07-02T10:26:45Z
bbc,Who is the Dalai Lama and why does he live in exile?,https://www.bbc.com/news/articles/c78nzwd10d4o,2025-07-02T11:36:08Z
bbc,"There is space for every woman in football, say Wales' first Muslim female referees",https://www.bbc.com/news/articles/cly8dpqzz2no,2025-07-02T08:11:47Z
bbc,Don't call him Oliver - the British qualifier aiming to stun Alcaraz,https://www.bbc.com/sport/tennis/articles/cq533p4x7l2o,2025-07-02T05:17:52Z
bbc,"After one of the driest springs on record, will there be a drought where you live?",https://www.bbc.com/news/articles/crk661074ejo,2025-07-01T23:09:18Z
bbc,"Recent droughts are 'slow-moving global catastrophe', UN report says",https://www.bbc.com/news/articles/ckg33r1xgymo,2025-07-02T12:31:51Z
bbc,Dalai Lama confirms he will have a successor after his death,https://www.bbc.com/news/articles/cpvjjd7xw8go,2025-07-02T10:57:36Z
bbc,Trump says Israel has agreed to conditions for 60-day Gaza ceasefire,https://www.bbc.com/news/articles/cgkg4m0133po,2025-07-02T10:56:10Z
bbc,Banknotes are getting a makeover - and the Bank of England wants your help,https://www.bbc.com/news/articles/cy4nn1d2vzxo,2025-07-01T23:00:05Z
