source,headline,url,published_at
techcrunch,"Slate Auto drops ‘under $20,000’ pricing after Trump administration ends federal EV tax credit",https://techcrunch.com/2025/07/03/slate-auto-drops-under-20000-pricing-after-trump-administration-ends-federal-ev-tax-credit/,2025-07-03T22:47:52Z
techcrunch,Everyone in tech has an opinion about Soham Parekh,https://techcrunch.com/2025/07/03/everyone-in-tech-has-an-opinion-about-soham-parekh/,2025-07-03T22:41:07Z
techcrunch,"Cluely’s ARR doubled in a week to $7M, founder Roy Lee says. But rivals are coming.",https://techcrunch.com/2025/07/03/cluelys-arr-doubled-in-a-week-to-7m-founder-roy-lee-says-but-rivals-are-coming/,2025-07-03T22:33:48Z
techcrunch,"Who is Soham Parekh, the serial moonlighter Silicon Valley startups can’t stop hiring?",https://techcrunch.com/2025/07/03/who-is-soham-parekh-the-serial-moonlighter-silicon-valley-startups-cant-stop-hiring/,2025-07-03T22:00:35Z
techcrunch,TechCrunch All Stage brings back early launch prices for a limited time,https://techcrunch.com/2025/07/03/rollback-rates-techcrunch-all-stage-brings-back-early-launch-prices-for-a-limited-time/,2025-07-03T20:11:12Z
techcrunch,Wonder Dynamics co-founder Nikola Todorovic joins the AI Stage at TechCrunch Disrupt 2025,https://techcrunch.com/2025/07/03/wonder-dynamics-co-founder-nikola-todorovic-joins-the-ai-stage-at-techcrunch-disrupt-2025/,2025-07-03T19:30:17Z
techcrunch,"Stripe’s first employee, the founder of fintech Increase, sort of bought a bank",https://techcrunch.com/2025/07/03/stripes-first-employee-the-founder-of-fintech-increase-sort-of-bought-a-bank/,2025-07-03T18:55:59Z
techcrunch,Final GOP bill kneecaps renewables and hydrogen but lifts nuclear and geothermal,https://techcrunch.com/2025/07/03/final-gop-bill-kneecaps-renewables-and-hydrogen-but-lifts-nuclear-and-geothermal/,2025-07-03T18:38:52Z
cnn,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,2023-04-19T12:44:51Z
cnn,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,
cnn,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,2023-04-17T16:01:11Z
cnn,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,2023-04-19T08:28:17Z
cnn,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,2023-04-18T21:17:44Z
cnn,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,2023-04-18T20:34:45Z
cnn,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,2023-04-19T04:29:05Z
cnn,Newly released video shows scene of Jeremy Renner's snowplow accident,https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,2023-04-18T14:09:43Z
cnn,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,2023-04-18T14:40:32Z
cnn,"Toddler crawls through White House fence, prompts Secret Service response",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,2023-04-18T17:38:16Z
cnn,Jamie Foxx remains hospitalized nearly a week after 'medical complication',https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,2023-04-18T00:27:07Z
cnn,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,2023-04-19T15:01:06Z
cnn,See pizza delivery guy take out suspect fleeing police,https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,2023-04-18T16:40:22Z
cnn,Netflix is winding down its DVD business after 25 years,https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,2023-04-18T20:10:51Z
